(77, 268)
(77, 335)
(77, 402)
(77, 536)
(77, 603)
(77, 670)
(77, 737)
(77, 804)
(77, 871)
(77, 938)
(77, 1005)
(154, 134)
(154, 201)
(154, 268)
(154, 335)
(154, 402)
(154, 536)
(154, 603)
(154, 670)
(154, 737)
(154, 804)
(154, 871)
(154, 938)
(154, 1005)
(231, 134)
(231, 201)
(231, 268)
(231, 335)
(231, 402)
(231, 536)
(231, 603)
(231, 670)
(231, 737)
(231, 804)
(231, 871)
(231, 938)
(231, 1005)
(308, 134)
(308, 201)
(308, 268)
(308, 335)
(308, 402)
(308, 536)
(308, 938)
(308, 1005)
(385, 134)
(385, 201)
(385, 268)
(385, 335)
(385, 402)
(385, 536)
(385, 670)
(385, 737)
(385, 938)
(385, 1005)
(462, 134)
(462, 201)
(462, 268)
(462, 335)
(462, 402)
(462, 536)
(462, 670)
(462, 737)
(462, 938)
(462, 1005)
(539, 134)
(539, 938)
(539, 1005)
(616, 134)
(616, 871)
(616, 938)
(616, 1005)
(693, 134)
(693, 268)
(693, 335)
(693, 536)
(693, 670)
(693, 737)
(770, 134)
(770, 335)
(770, 536)
(770, 670)
(847, 134)
(847, 536)
(847, 670)
(847, 871)
(847, 938)
(847, 1005)
(924, 134)
(924, 201)
(924, 268)
(924, 335)
(924, 402)
(924, 469)
(924, 536)
(924, 871)
(924, 938)
(924, 1005)
(1001, 134)
(1001, 201)
(1001, 268)
(1001, 335)
(1001, 871)
(1001, 938)
(1001, 1005)
(1078, 134)
(1078, 201)
(1078, 268)
(1078, 670)
(1078, 871)
(1078, 938)
(1078, 1005)
(1155, 134)
(1155, 201)
(1155, 268)
(1155, 469)
(1155, 536)
(1155, 603)
(1155, 670)
(1155, 871)
(1155, 938)
(1155, 1005)
(1232, 134)
(1232, 201)
(1232, 268)
(1232, 804)
(1232, 871)
(1232, 938)
(1232, 1005)
(1309, 134)
(1309, 201)
(1309, 268)
(1309, 335)
(1309, 402)
(1309, 469)
(1309, 536)
(1309, 603)
(1309, 670)
(1309, 737)
(1309, 804)
(1309, 871)
(1309, 938)
(1309, 1005)
(1386, 134)
(1386, 201)
(1386, 268)
(1386, 335)
(1386, 402)
(1386, 469)
(1386, 536)
(1386, 603)
(1386, 670)
(1386, 737)
(1386, 804)
(1386, 871)
(1386, 938)
(1386, 1005)
(1463, 134)
(1463, 201)
(1463, 268)
(1463, 335)
(1463, 402)
(1463, 469)
(1463, 536)
(1463, 603)
(1463, 670)
(1463, 737)
(1463, 804)
(1463, 871)
(1540, 201)
(1540, 268)
(1540, 335)
(1540, 402)
(1540, 469)
(1540, 536)
(1540, 603)
(1540, 670)
(1540, 737)
(1540, 804)
(1540, 871)
(1617, 134)

(77, 134)
(77, 201)
(77, 469)
(77, 1072)
(154, 469)
(154, 1072)
(231, 469)
(231, 1072)
(308, 469)
(308, 603)
(308, 670)
(308, 737)
(308, 804)
(308, 871)
(308, 1072)
(385, 469)
(385, 603)
(385, 804)
(385, 871)
(385, 1072)
(462, 469)
(462, 603)
(462, 804)
(462, 871)
(462, 1072)
(539, 201)
(539, 268)
(539, 335)
(539, 402)
(539, 469)
(539, 536)
(539, 603)
(539, 670)
(539, 737)
(539, 804)
(539, 871)
(539, 1072)
(616, 201)
(616, 268)
(616, 335)
(616, 402)
(616, 469)
(616, 536)
(616, 603)
(616, 670)
(616, 737)
(616, 804)
(616, 1072)
(693, 201)
(693, 402)
(693, 469)
(693, 603)
(693, 804)
(693, 871)
(693, 938)
(693, 1005)
(693, 1072)
(770, 201)
(770, 268)
(770, 402)
(770, 469)
(770, 603)
(770, 737)
(770, 804)
(770, 871)
(770, 938)
(770, 1005)
(770, 1072)
(847, 201)
(847, 268)
(847, 335)
(847, 402)
(847, 469)
(847, 603)
(847, 737)
(847, 804)
(847, 1072)
(924, 603)
(924, 670)
(924, 737)
(924, 804)
(924, 1072)
(1001, 402)
(1001, 469)
(1001, 536)
(1001, 603)
(1001, 670)
(1001, 737)
(1001, 804)
(1001, 1072)
(1078, 335)
(1078, 402)
(1078, 469)
(1078, 536)
(1078, 603)
(1078, 737)
(1078, 804)
(1078, 1072)
(1155, 335)
(1155, 402)
(1155, 737)
(1155, 804)
(1155, 1072)
(1232, 335)
(1232, 402)
(1232, 469)
(1232, 536)
(1232, 603)
(1232, 670)
(1232, 737)
(1232, 1072)
(1309, 1072)
(1386, 1072)
(1463, 938)
(1463, 1005)
(1463, 1072)
(1540, 134)
(1540, 938)
(1540, 1005)
(1540, 1072)
(1617, 201)
(1617, 268)
(1617, 335)
(1617, 402)
(1617, 469)
(1617, 536)
(1617, 603)
(1617, 670)
(1617, 737)
(1617, 804)
(1617, 871)
(1617, 938)
(1617, 1005)
(1617, 1072)
